Organization,Branch,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Allied Service Center NYC,Queens Opioid Treatment Clinic Otp 3,2036 Amsterdam Avenue,,NEW YORK,10032,212-645-0875,,40.8352691,-73.94029305,,,1,1,,1,1,,,1,,,1,,,,,,
Beth Israel Medical Center,Ny Center Addiction Treatment Op 1,25 12th Street,,BROOKLYN,11215,718-965-7900,,40.67183494,-73.99706919,1,1,,1,,,,,,,,,1,,,,,,
New York Center Addiction Treatment,Bleuler Cd Recovery Services Op,37-20 74Th Street,,QUEENS,11372,212-966-9537,http://nycats.net/,40.74827786,-73.89172079,1,,1,1,,1,,,,,,,1,,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Cd Recovery Services Op,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,,40.72336959,-73.84829544,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Safe Space NYC, Inc.",Family Life Clinic,133-25 Guy R. Brewer Boulevard,,QUEENS,11434,718-206-3440,,40.67376872,-73.77595052,,,1,1,,1,,,,,,1,1,1,,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,67-09 108th Street,,QUEENS,11375,718-224-0566,,40.72870149,-73.84741377,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,208-11 26th Avenue,,QUEENS,11360,718-224-0566,,40.77638032,-73.78379773,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,92-33 170th Street,,QUEENS,11433,718-657-6540,,40.706193,-73.7891362,1,1,,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",Service Program for Older People PROS,188 W. 88th Street,,NEW YORK,10024,212-787-7120,http://www.spop.org/,40.7887173,-73.9734392,1,1,1,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,225 E. 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.78296479,-73.95001368,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,465 Grand Street,,NEW YORK,10012,212-787-7120,http://www.spop.org/,40.71513259,-73.98403061,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,331 E. 12th Street,,NEW YORK,10003,212-787-7120,http://www.spop.org/,40.73065708,-73.98504077,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,72 Columbia Street,,NEW YORK,10002,212-787-7120,http://www.spop.org/,40.71700668,-73.98026767,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,1484 1st Avenue,,NEW YORK,10075,212-787-7120,http://www.spop.org/,40.77124347,-73.95347754,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,312 E. 109th Street,,NEW YORK,10029,212-787-7120,http://www.spop.org/,40.79230607,-73.94047965,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,415 East 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.78090401,-73.94511171,1,1,,,,1,,,,,,,,,1,,,,
South Beach Psychiatric Center,Heights Hill Clinic,25 Flatbush Avenue,,BROOKLYN,11217,718-875-1420,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.68795882,-73.98026906,,1,1,1,,1,1,,,,,,1,1,,,,,
South Beach Psychiatric Center,Mapleton Clinic,1083 Mcdonald Avenue,,BROOKLYN,11230,718-421-7444,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.62685379,-73.97640723,,1,1,1,,1,,,,,,,1,1,1,,,,
St. Luke's-Roosevelt Hospital center,SRL Department Of Psychiatry And Behavioral Health,347 West 37th street,,NEW YORK,10018,212-523-6676,,40.75467443,-73.99343448,1,1,,,1,,,,,,,,1,1,1,,,,
Goddard-Riverside Community Center,The Other Place,264 West 87th Street,,NEW YORK,10024,212-799-7171,http://www.goddard.org/,40.78919006,-73.97651582,,1,,1,,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",PAL Queens Peer Advocacy,33-24 Northern Boulevard,2nd Floor,QUEENS,11101,347-649-3850,,40.75200211,-73.93031948,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Brooklyn Assisted Competitive Employment ( BACE),2559 West 13th Street,,BROOKLYN,11223,718-372-0371,http://www.goodwillnynj.org/,40.58549349,-73.98209227,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Bronx Assisted Competitive Employment,384 East 149th Street,6th Floor Room 622,BRONX,10455,718-401-2555,http://www.goodwillnynj.org/,40.81624301,-73.91836265,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",CitiView Psychosocial Clubhouse,33-24A Northern Boulevard,3rd Floor,QUEENS,11101,718-361-7030,http://www.goodwillnynj.org/,40.75200211,-73.93031948,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Seamark Center Clubhouse,2559 West 13th Street,,BROOKLYN,11223,718-372-0450,http://www.goodwillnynj.org/,40.58549349,-73.98209227,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Latern House,512 Southern Boulevard,,BRONX,10455,718-993-1078,,40.81153108,-73.90500941,,1,,,1,,,,,,,,1,1,1,,,,
"Heights Hill Mental Health Service Community Advisory Board, Inc.","Rainbow Heights Club, Advocacy Services",25 Flatbush Avenue,3rd Floor,BROOKLYN,11217,718-852-5212,,40.68795882,-73.98026906,,1,,,1,,1,,,,,,1,1,1,,,,
"Hospital Audiences, Inc.",Recreation Program,33-02 Skillman Avenue,,QUEENS,11101,212-575-7676,http://hainyc.org/,40.74672718,-73.93111175,,1,,,1,,,,,1,,1,1,1,1,,,,
"Jewish Association for Services for the Aged, Inc.",Bronx Friendship House,2705 Schley Avenue,,BRONX,10465,718-863-8833,http://www.jasa.org/,40.82166186,-73.82706146,,1,,,1,,,,,,,,,,1,,,,
"Jewish Association for Services for the Aged, Inc.",Brooklyn Friendship House,202 Graham Avenue,,BROOKLYN,11206,718-922-5079,http://www.jasa.org/,40.70887821,-73.9434433,,1,,,1,,,,,,,,,,1,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Loss and Bereavement,135 West 50th Street,,NEW YORK,10020,212-582-9100,https://www.jbfcs.org/,40.76037397,-73.98153267,,1,1,1,,,1,,,,,1,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",CoD Peer Advocacy Program,195 Montague Street,8th Floor,BROOKLYN,11201,718-488-0100,https://www.jbfcs.org/,40.69401516,-73.99147151,1,1,1,1,,,,,,,,,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Health Home Care Coordination for People with Mental Illness- Bronx (Adult),55 Westchester Square,,BRONX,10461,718-931-4045,https://www.jbfcs.org/,40.84146899,-73.84330246,,1,,1,,,,,,,,,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Bronx Home Based Crisis Intervention,521 West 239th Street,,BRONX,10463,718-601-2280,https://www.jbfcs.org/,40.88944842,-73.90923453,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS- Bay Ridge Counseling center,9201 4th Avenue,,BROOKLYN,11209,718-238-6444,https://www.jbfcs.org/,40.61822537,-74.03021026,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Brooklyn PROS Possibilities,195 Montague Street,,BROOKLYN,11201,718-488-0100,https://www.jbfcs.org/,40.69401516,-73.99147151,,1,1,1,,,,,,,,1,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Ittleson Center For Children Research,5050 Iselin Avenue,,BRONX,10471,718-549-6700,https://www.jbfcs.org/,40.89901612,-73.90548123,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,521 West 239th Street,,BRONX,10463,718-601-2280,https://www.jbfcs.org/,40.88944842,-73.90923453,,1,1,1,,1,,,,,,1,1,1,,,,,
Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescfent Guidance Services,858 E. 29th Street,,NEW YORK,10016,718-859-4500,http://www.jccany.org,40.73989942,-73.97392056,1,1,1,1,,1,,,,,,1,1,,,,,,
JGB Mental Health and Mental Retardation Svcs,"JBG Mental Health and Mental Retardation Services, Inc. CTP",1630 East 15th Street,,BROOKLYN,11229,212-769-6259,,40.60968827,-73.95847026,1,1,1,1,,1,,,,,,,,,,,,,
Lutheran Medical Center,Sunset Park Mental Health Center,514  West 49th Street,,NEW YORK,10019,718-431-2600,,40.76455002,-73.99344073,1,1,1,1,,1,1,,,1,1,,1,1,,,,,
Lutheran Medical Center,Sunset Park Mental Health Center,4004 Fourth Avenue,,BROOKLYN,11232,718-431-2600,,40.65197629,-74.00686174,1,1,1,1,,1,1,,,1,1,1,1,,,,,,
"Palladia, Inc.",Ujima House Cr,1806-08 3rd Avenue,,NEW YORK,10029,718-294-4184,http://www.palladiainc.org/,40.7879151,-73.94735211,1,1,,1,,1,,,,,,,,1,,,,,
"Palladia, Inc.",Cti Harlem Op,177 E. 122nd Street,,NEW YORK,10035,212-979-8800,http://www.palladiainc.org/,40.8020952,-73.93797863,1,1,,,,1,,,,,,,,1,,,,,
"Palladia, Inc.",Esperanza Transitional Shelter Cr,170 E. 107th Street,,NEW YORK,10029,212-722-7501,http://www.palladiainc.org/,40.7925773,-73.94499013,1,1,,1,,1,,,,1,,,,1,,,,,
Legal Action Ctr Of The City Of Ny,"Legal Action Ctr., City Of New York",225 Varick Street,,NEW YORK,10014,212-243-1313,http://lac.org/,40.72916478,-74.00524968,1,,,,,,,,,1,,,,1,,,,,
"Qsa Services, Inc.D/B/A  Pac Of Queens",The Pac Program Op,40-11 Warren Street,,QUEENS,11373,718328-2605,,40.7487469,-73.87017373,1,1,,1,,1,,,,,,,1,1,1,,,,
"Reborn For New Life, Llc","Reborn For New Life, Llc Op",400 Liberty Avenue,,BROOKLYN,11207,646-251-1400,,40.67460601,-73.89507416,,,,1,,,,,,,,,,,,,,,
"Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic,2925 A. Kings Highway,,QUEENS,11229,718-382-0045,http://www.ohelfamily.org/,40.59566169,-73.74388795,1,,1,1,,1,,,,,1,1,1,1,1,,,,
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,18 Middleton Street,,BROOKLYN,11206,718-875-6900,http://www.pesachtikvah.org/,40.70029778,-73.9552293,,1,,1,,1,,,,,,,,1,,,,,
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,4111 18th Avenue,,BROOKLYN,11218,718-875-6900,http://www.pesachtikvah.org/,40.63180233,-73.97490673,,1,,1,,1,,,,,,,,1,,,,,
"Postgraduate Center for Mental Health, Inc.",Center for Adult Psychotherapy,71 West 23rd Street,,NEW YORK,10010,212-576-4104,http://www.pgcmh.org/,40.74244097,-73.9916674,,1,1,1,,1,,,,,,1,1,1,,,,,
"Postgraduate Center for Mental Health, Inc.",PCMH Brooklyn ACT,164 20th Street,,BROOKLYN,11232,718-431-8725,http://www.pgcmh.org/,40.66360879,-73.99569625,,1,,1,,,,,,,,1,1,1,,,,,
Jamaica Hospital Medical Center CPEP,Jamaica Hospital Medical Center CPEP,8900 Van Wyck Expressway,,QUEENS,11418,718-206-7099,http://jamaicahospital.org/,40.70115331,-73.81618304,,1,1,1,,1,,,,,,,,1,,,,,
Jamaica Hospital Mental Health Clinic,Jamaica Hospital Mental Health Clinic,90-09 Van Wyck Expressway,,QUEENS,11435,718-206-5575,http://jamaicahospital.org/,40.70052018,-73.81504153,,1,1,1,,1,,,,,,1,1,1,1,,,,
Bronx Counseling (Resource) Center Clinic,Bronx Studio School for Writers and Artists,928 Simpson Street,,BRONX,10459,718-881-7600,,40.82057826,-73.89312783,,1,1,1,,1,,,,,,,1,,,,,,
Bronx Counseling (Resource) Center Clinic,Child and Family Clinic Plus at Evander,800 East Gun Hill Road,,BRONX,10467,718-881-7600,,40.87595259,-73.86197016,,1,1,1,,1,,,,,,1,1,1,,,,,
Brooklyn Counseling (Resource) Center Clinic,Maimonides Geriatric Integrated Care at 57th Street,1250 57th Street,,BROOKLYN,11219,718-998-3235,,40.63119571,-73.99787078,,1,1,1,,1,,,,,,,,1,,,,,
"Staten Island Mental Health Society, Inc.",Day Treatment South,6581 Hylan Boulevard,,STATEN ISLAND,10309,718-984-4589,https://simhs.org/,40.50877013,-74.2226191,,1,1,1,,1,,,,,,,1,,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,11 Clove Lake Place,,STATEN ISLAND,10310,718-442-2225,https://simhs.org/,40.62816908,-74.11699711,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,101 Warren Street,,STATEN ISLAND,10304,718-442-2225,https://simhs.org/,40.62034677,-74.0816427,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,100 Tompkins Avenue,,STATEN ISLAND,10305,718-442-2225,https://simhs.org/,40.62245421,-74.07850771,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,80 Monroe Avenue,,STATEN ISLAND,10301,718-442-2225,https://simhs.org/,40.63969929,-74.07914054,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,80 Maple Parkway,,STATEN ISLAND,10303,718-442-2225,https://simhs.org/,40.63178922,-74.15643938,,1,1,1,,1,,,,,,1,1,1,,,,,
"Staten Island Mental Health Society, Inc.",Staten Island Mental Health Society CHAIT Clinic,140 Palma Drive,,STATEN ISLAND,10304,718-442-2225,https://simhs.org/,40.61150743,-74.08317701,,1,1,1,,1,,,,,,1,1,1,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Flushing Clinic,147-26 25th Drive,,QUEENS,11354,718-358-8288,http://childcenterny.org/index.php,40.77525306,-73.81934713,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Flushing Clinic,154-60 17th Avenue,,QUEENS,11357,718-358-8288,http://childcenterny.org/index.php,40.78364982,-73.80783778,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - South Jamaica Clinic,1600 Central Avenue,,QUEENS,11691,718-659-4000,http://childcenterny.org/index.php,40.60518193,-73.75196166,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,28-37 29th Street,,QUEENS,11102,718-458-4243,http://childcenterny.org/index.php,40.76898429,-73.92242789,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,14-14 29th Avenue,,QUEENS,11103,718-458-4243,http://childcenterny.org/index.php,40.77133534,-73.92908618,,,,1,,1,,,,,,1,,,,,,,
"The Child Center of NY, Inc.",The Child Center of NY - Woodside Clinic,60-02 Roosevelt Avenue,,QUEENS,11377,718-458-4243,http://childcenterny.org/index.php,40.74548659,-73.90427353,,,,1,,1,,,,,,1,,,,,,,
The Family Center,Irene LeeKong Health and Wellness Institute at TFC,493 Nostrand Avenue,,BROOKLYN,11216,718-230-1379,http://www.thefamilycenter.org/,40.68055506,-73.94958568,,1,,1,,1,,,,,,1,1,,,,,,
"The Floating Hospital, Inc.",Floating Hospital Clinic,10-29 41st Avenue,,QUEENS,11101,718-784-2240,http://www.thefloatinghospital.org/,40.75544935,-73.94524819,1,1,1,1,,1,,,,,1,,,1,,,,,
"The Floating Hospital, Inc.",,"41-40 27th Street, LIC",,QUEENS,11101,,http://www.thefloatinghospital.org/,40.75129605,-73.93882356,1,1,,,,1,,,,,1,,,1,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Psychotherapy Center,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,http://www.bleulerpsychotherapycenter.org/,40.72336959,-73.84829544,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Eating Disorder Treatment of New York, LLC",Eating Disorder Treatment of New York,117 West 72nd Street,,NEW YORK,10023,888-228-1253,http://www.montenido.com/facilities/eating_disorder_treatment_of_new_york,40.77773411,-73.97953838,1,1,,,,1,,,,,,,1,1,,,,,
"Federation of Org. f/t NYS Ment.Disabled, Inc",Federation of Organizations ACT Program,105-01 101st Avenue,,QUEENS,11416,718-850-7099,,40.68654276,-73.83802717,1,1,,1,,,,,,,,,,,,,,,
"Federation of Org. f/t NYS Ment.Disabled, Inc",Federation of Organizations Brooklyn Manor Adult Home I Clin,2830 Pitkin Avenue,,BROOKLYN,11208,718-235-0900,,40.67600247,-73.86782057,1,1,,,,,,,,,,,,1,,,,,
Jewish Child Care Association of New York,Children's Services Expansion,858 East 29th Street,,BROOKLYN,11210,917-808-4800,,40.62985571,-73.94848554,,1,,1,,,,,,,,1,1,1,,,,,
"Lenox Hill Neighborhood House, Inc.",Peer Advocacy,643 Park Avenue,3rd Floor,NEW YORK,10065,212-218-0515,http://www.lenoxhill.org/,40.76749043,-73.96644767,,1,,,1,,,,,,,,,1,,,,,
"National Alliance for the Mentally Ill of New York City, Inc.",Advocacy Services,505 Eighth Avenue,Suite 1103,NEW YORK,10018,212-684-3365,http://www.naminycmetro.org/,40.75304676,-73.99284993,,1,,,1,,,,,,,,,1,,,,,
"NYSARC, Inc. New York City Chapter",Job Connection Center,57 Willoughby Street,4th Floor,BROOKLYN,11201,718-246-1507,http://www.nysarc.org/,40.69221688,-73.9866649,,1,,1,,,,,,,,,,1,1,,,,
Saint Dominic's Home,Blended Case Management (Children's),2341 Dr Martin Luther King Jr Blvd,,BRONX,10468,718-584-4407,http://www.stdominicshome.org/,40.86144183,-73.90612753,,1,,,1,,,,,,,1,,,,,,,
"Sky Light Center, Inc.",Assisted Competitive Employment,307 St. Mark's Place,,STATEN ISLAND,10301,718-720-2585,http://www.skylightcenter.org/,40.64248022,-74.07846641,,1,,,1,,,,,,,,,1,,,,,
"Urban Pathways, Inc.",Assisted Competitive Employment,575 Eighth Avenue,,NEW YORK,10018,212-736-7385,http://www.urbanpathways.org/,40.75495152,-73.99146731,,,,,1,,,,,,,,,1,,,,,
"Venture House, Inc.","Venture House, Inc.",150-10 Hillside Avenue,,QUEENS,11432,718-658-7201,http://www.venturehouse.org/,40.70671716,-73.80626336,,1,,,,,,,,,,,,1,1,,,,
Visiting Nurse Service of New York,Visiting Nurse Bronx ACT Program,349 E. 149th Street,,BRONX,10451,718-742-5155,http://www.vnsny.org/,40.81666956,-73.91995897,,1,,1,,,,,,,,1,1,,,,,,
Visiting Nurse Service of New York,VNS Children and Adolescent MH Clinic at FRIENDS,470 Jackson Avenue,Room 117,BRONX,10455,718-742-7000,http://www.vnsny.org/,40.81116164,-73.9098037,,1,,1,,1,,,,,,1,1,,,,,,
"Advanced Center for Psychotherapy, Inc.",Advanced Center for Psychotherapy Forest Hills,103-26 68th Road,,QUEENS,11375,718-261-3330,http://jamaicahospital.org/index.php/clinical-services/psychiatry/advanced-center-of-psychotherapy/,40.72530893,-73.84946718,1,1,1,1,,1,,,,,,1,1,1,1,,,,
"ACMH, Inc.",Health Home Care Coordination for People with Mental Illness - Manhattan (Adult),545 8th Avenue,9th Floor,NEW YORK,10018,212-543-0592,http://www.acmhnyc.org/,40.75426811,-73.99196189,1,1,,,1,,,,,,,,,1,,,,,
"Baltic Street AEH, Inc.",Geriatric Peer Advocacy,681 Clarkson Avenue,Building 25,BROOKLYN,11203,718-774-1072,http://www.balticstreet.org/,40.6561839,-73.93780073,,1,,,1,,,,,,,,,,1,,,,
"Baltic Street AEH, Inc.",NetWORKPlus I,25 Flatbush Avenue,2nd Floor,BROOKLYN,11217,718-377-8567,http://www.balticstreet.org/,40.68795882,-73.98026906,,1,,,1,,,,,,,,,1,,,,,
"Baltic Street AEH, Inc.",NetWORKPlus West,1083 McDonald Avenue,,BROOKLYN,11230,718-377-8567,http://www.balticstreet.org/,40.62685379,-73.97640723,,1,,,1,,,,,,,,,1,1,,,,
Berkshire Farm Center and Services for Youth,MICA Network,4419 3rd Avenue,# 3C,NEW YORK,10467,718-220-4247,http://www.berkshirefarm.org/,40.85184593,-73.8930306,1,1,,,1,,,,,,,,1,,,,,,
"Bowery Residents' Committee, Inc.",Health Home Care Coordination for People with Mental Illness - Manhattan (Adult),80 Centre Street Room,200B,NEW YORK,10013,917-749-1737,,40.71544658,-74.00189022,,1,,,,,,,,,,,,1,,,,,
"Center for Urban Community Services, Inc.",Assertive Community Treatment,665 Pelham Pkwy,North Suite 402,BRONX,10467,718-519-8326,http://www.cucs.org/,40.85776087,-73.86916202,,1,,,1,,,,,,,,,1,1,,,,
"Center for Urban Community Services, Inc.",Assisted Competitive Employment,14 East 28th Street,,NEW YORK,10016,212-471-0792,http://www.cucs.org/,40.74429043,-73.98638742,,1,,,1,,,,,,,,,1,1,,,,
"Center for Urban Community Services, Inc.",Outreach - PPOH,198 East 121st Street,,NEW YORK,10035,,http://www.cucs.org/,40.80119211,-73.93783138,,1,,,1,,,,,,,,,1,1,,,,
"Community Association of Progressive Dominicans, Inc.",Audubon Ballroom Youth,513 West 207th Street,,NEW YORK,10034,212-568-4872,http://www.acdp.org/,40.86503651,-73.91949583,,1,,,,,,,,,,1,1,,,,,,
"EAC, Inc.",Court based Intervention and Resource Teams (CIRT) - Bronx,1020 Grand Concourse,,BRONX,10451,718-538-7416,http://www.eacinc.org/,40.82796155,-73.92026698,1,,,,,,,,,,,,,1,,,,,
"EAC, Inc.",Court Based Intervention and Resource Teams (CIRT) - Staten Island,120 Stuyvesant Place,Suite 410,STATEN ISLAND,10301,718-727-9722,http://www.eacinc.org/,40.64299177,-74.0769536,1,,,,,,,,,,,,,1,,,,,
"Fedcap Rehabilitation Services, Inc.",The Chelton Loft,104-106 East 126th Street,Suite 4D,NEW YORK,10035,212-727-4361,,40.80551792,-73.93806574,1,1,,1,,,,,,,,,,1,,,,,
"Fountain House, Inc.",Fountain House Independent Employment Program,425 West 47th Street,,NEW YORK,10036,212-582-0340,http://www.fountainhouse.org/,40.762,-73.99122094,,1,,,1,,,,,,,,1,1,,,,,
"Fountain House, Inc.",Fountain House Bronx Psychosocial Clubhouse,564 Walton Avenue,,BRONX,10451,,http://www.fountainhouse.org/,40.81935927,-73.92811733,,1,,,1,,,,,,,,,1,,,,,
Fund for the City of New York,Court Based Intervention and Resource Teams (CIRT) - Brooklyn,120 Schermerhorn Street,,BROOKLYN,11201,347-401-9076,,40.69007346,-73.98892263,,1,,,1,,,,,,,,,1,,,,,
Goddard-Riverside Community Center,Homeless Assertive Community Treatment,965 Columbus Avenue,,NEW YORK,10025,212-531-2727,http://www.goddard.org/,40.80015144,-73.96219086,,1,,1,,,,,,,,,,1,,,,,
Goddard-Riverside Community Center,TOP Opportunities,577 Columbus Avenue,,NEW YORK,10024,646-505-1088,http://www.goddard.org/,40.78764909,-73.97131263,,1,,,1,,,,,,,,,1,,,,,
AIDS Center of Queens County,Harm Reduction Program,161-21 Jamaica Avenue,,QUEENS,11432,917-670-5687,http://acqc.org/,40.70424899,-73.79792104,1,1,,1,,,,,,1,,,1,1,,,,,
After Hours Project,Harm Reduction Program,1204 Broadway,,BROOKLYN,11221,718-249-0755,http://www.afterhoursproject.org/,40.69210645,-73.92665705,1,1,,,,,1,1,1,1,1,,1,1,1,,1,,
Community Health Action of Staten Island,Harm Reduction Program,56 Bay Street,,STATEN ISLAND,10301,718-808-1300,http://chasiny.org/,40.64062385,,,1,,1,,,1,,,1,1,,,1,1,,,,
BOOM!Health,Harm Reduction Program,226 East 144th Street,,BRONX,10451,718-295-BOOM,http://www.boomhealth.org/,40.81578939,,1,1,,1,1,,,,,1,,,1,1,1,,,,
Family Services Network of New York,Harm Reduction Program,1420 Bushwick Ave,,BROOKLYN,11207,718-455-6010Â ,http://fsnny1.org/,40.68431795,-73.90905584,,1,,1,,,,,,1,,,1,1,,,,,
